FIX_CNTL_NUMBER,OLD_NAME,NEW_NAME,PUB_DT,lat_dec_deg,lon_dec_deg,city,state
110785,YAGUG,RONNI,2/23/2023,39.49976944,-104.8475778,Lone Tree, CO
111390,YLEEE,PRONI,10/5/2023,34.56128611,-77.67441389,Holly Ridge, NC
111422,ZILLS,WAALT,10/5/2023,33.79241111,-77.86905278,Bald Head Island, NC
111601,JEUDY,SPACY,3/24/2022,39.99649083,-82.66761139,Pataskala, OH
201379,CFVZD,WAZUR,4/20/2023,54.69786944,-131.0457,N/A,
201930,WLBIR,EZEEE,4/20/2023,35.807025,-101.3819583,Stinnett, TX
203015,UKCEB,WARMM,11/30/2023,39.25897639,-94.62725028,Kansas City, MO
203022,IDXOJ,VVEST,11/30/2023,39.29790333,-94.84029222,Platte City, MO
203027,ZULEP,HELAN,11/30/2023,39.24816722,-94.60655333,Kansas City, MO
203033,JILGU,WUZBY,11/30/2023,39.29712639,-94.81652389,Platte City, MO
203038,UTPIQ,MYYLA,11/30/2023,39.32453278,-94.8109025,Kansas City, MO
203050,NIVME,SWETR,11/30/2023,39.28091222,-94.60795056,Kansas City, MO
203060,MAGKS,SOKKS,11/30/2023,39.30944306,-94.83926806,Platte City, MO
