FIX_CNTL_NUMBER,OLD_NAME,NEW_NAME,PUB_DT,lat_dec_deg,lon_dec_deg,city,state
85519,CAXUS,MALLY,7/19/2018,42.12710833,-86.30576389,Benton Harbor, MI
85649,EYAXO,CFDXW,4/25/2019,25.63451944,-80.63488611,N/A,
85776,VUMUF,CFVKD,12/7/2017,44.18671667,-123.2755278,Junction City, OR
85778,IVUQO,CFPKQ,12/7/2017,44.18761111,-123.1643608,Junction City, OR
85871,ZARUN,NYATE,2/23/2023,34.996475,-89.429625,Moscow, TN
85912,DMVBD,CFTZC,12/10/2015,41.59167222,-71.284325,Portsmouth, RI
85930,XEXMA,CFVPG,12/7/2017,44.04283611,-123.0959556,Eugene, OR
85949,YIVUT,CFFSV,12/7/2017,44.03844722,-123.299675,Veneta, OR
85960,XOJEZ,CFVHV,12/7/2017,44.04011111,-123.0800528,Eugene, OR
85969,DMGBD,CFDZJ,9/12/2019,26.49030556,-81.98121111,Iona, FL
86002,YIQRY,CFRRP,12/7/2017,44.18490333,-123.1495958,Junction City, OR
86003,OVLUJ,CFVHN,12/7/2017,44.18398722,-123.2584606,Cheshire, OR
86008,OJGEB,CFVFF,12/7/2017,44.16378,-122.9854936,Eugene, OR
86067,DNBCD,CFCDV,5/26/2016,41.89510278,-71.28231667,Rehoboth, MA
86326,XOBIJ,CFFRC,3/29/2018,41.90223,-72.81357278,Simsbury, CT
86332,JUZBU,CFFRB,3/29/2018,41.84398528,-72.73378167,Bloomfield, CT
86356,YUZVU,CFFRF,3/29/2018,41.97322806,-72.56429556,Enfield, CT
86362,ZEGIG,CFFRD,3/29/2018,42.03159639,-72.6441075,Suffield, CT
86491,OTYIG,CFBLM,12/31/2020,33.39086111,-97.19378333,Sanger, TX
86623,CBOYD,LMOND,2/1/2018,28.56894444,-81.27053333,Orlando, FL
86670,XUWMU,CFRVG,12/7/2017,44.18334806,-123.1487836,Junction City, OR
86940,WOSUX,CFLFG,12/7/2017,44.04349444,-123.0966,Eugene, OR
86945,UVUSY,CFPKB,12/7/2017,44.04205278,-123.0988917,Eugene, OR
86946,VIYDU,CFPGT,12/7/2017,44.04159444,-123.3223639,Veneta, OR
86947,ZOXAL,CFVDJ,12/7/2017,44.04031944,-123.3203694,Veneta, OR
87109,XENYI,CFFLS,4/27/2017,40.95823333,-92.25451944,Ashland, IA
87383,OWYOV,CFVPH,1/7/2016,45.621925,-88.15133333,Goodman, WI
87542,CHYAN,ISLAY,5/26/2016,42.49622778,-71.06087778,Wakefield, MA
87543,FAKKE,SEHAG,5/26/2016,42.46803889,-70.78505278,Marblehead, MA
87546,HILLL,LWLND,5/26/2016,42.58237778,-71.01840833,Middleton, MA
87548,MISTK,SPYSD,5/26/2016,42.44956944,-71.02701389,Saugus, MA
87551,RSVOR,HRRIS,5/26/2016,42.461325,-71.156025,Woburn, MA
91081,RSDXF,CFFRX,3/24/2022,40.26043889,-104.9237917,Platteville, CO
91162,KNDCS,CFCGQ,6/22/2017,31.03588056,-83.75110833,Pavo, GA
91376,LAIRY,PECCH,2/28/2019,35.01561056,-81.68276778,Gaffney, SC
91921,YOLGU,BRROS,4/25/2019,32.66140722,-83.69288583,Centerville, GA
92723,FASOP,CHLMR,7/14/2022,34.71918056,-89.30255833,Potts Camp, MS
93074,YOKUV,LESKR,6/25/2015,29.96071944,-95.959225,Waller, TX
93194,FLAIL,DEELO,12/31/2020,40.14706944,-104.2373306,Roggen, CO
93524,ZATMA,CHIAP,1/5/2017,30.54942778,-97.98935556,Lago Vista, TX
93525,DIFFA,AWALT,1/5/2017,30.69750556,-98.047425,Bertram, TX
93543,CENTN,AFTRR,2/23/2023,39.63959694,-104.8540378,Denver, CO
93766,HASHE,JURKY,9/10/2020,39.55549444,-104.1908389,Deer Trail, CO
94629,ARKKK,ARRKK,5/19/2022,42.06347778,-75.31678056,Kelsey, NY
95154,BRNKO,VONNN,6/22/2017,39.74757222,-105.4340028,Central City, CO
95195,YUPUT,THARP,1/5/2017,30.59940889,-98.0089325,Leander, TX
95469,PYPER,SLEEK,3/26/2020,38.062825,-103.6862028,Rocky Ford, CO
96197,HOKKY,HHOGS,1/5/2017,46.15305556,-92.18944444,Cozy Corner, WI
96685,ZARLA,GAMVE,8/12/2021,26.07808333,-80.39413333,Weston, FL
96889,ZEPOM,ZOMGU,3/30/2017,25.75199444,-80.15488333,Miami, FL
97306,KEEEL,MNDOE,1/30/2020,41.84560833,-87.64708611,Chicago, IL
97363,BUSSE,BOWNN,6/17/2021,43.58568611,-88.67805278,Waupun, WI
97364,CHCGO,MITEE,9/15/2016,42.70158889,-90.27944167,Belmont, WI
98338,DREWD,MOWSR,6/15/2023,42.54815556,-88.39603333,Pell Lake, WI
98440,CRNKY,EMGEE,6/25/2015,30.78353056,-93.82808889,Newton, TX
98441,FRAGL,DOOTL,6/25/2015,30.76306667,-94.22066389,Spurger, TX
98446,MENTL,DLAKE,6/25/2015,30.97224722,-93.95836667,Jasper, TX
98451,NUTZZ,MURFF,6/25/2015,30.81971389,-94.29970556,Woodville, TX
98455,PROZC,SCHEX,6/25/2015,30.66659167,-94.14875,Spurger, TX
98458,WHACK,ZEEKK,6/25/2015,30.53579444,-94.50413611,Wildwood, TX
98469,JAWNS,RIIGG,3/5/2015,28.90241111,-95.61704444,Cedar Lake, TX
98580,TBAGG,WUUDZ,1/8/2015,30.57035,-96.14360278,College Station, TX
98626,TWSTD,GESNR,6/25/2015,30.40216111,-94.70001667,Votaw, TX
98682,GLAMM,RIDLR,7/21/2016,29.78034167,-95.70450556,Houston, TX
